[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/CLIView.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/MenuOption.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Ignored because not matching any filter: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/ui/MenuOption.class] (ClassPathScanningCandidateComponentProvider.java:447)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/excilys/cdb/spring/aspect/] to resources [URL [file:/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect] for files matching pattern [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect/**/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved location pattern [classpath*:com/excilys/cdb/spring/aspect/**/*.class] to resources [file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect/Aspects.class]] (PathMatchingResourcePatternResolver.java:520)
[main] TRACE | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Scanning file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect/Aspects.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG | org.springframework.context.annotation.ClassPathBeanDefinitionScanner | Identified candidate component class: file [/home/excilys/Bureau/cdb/target/classes/com/excilys/cdb/spring/aspect/Aspects.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] TRACE | org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader | Registering bean definition for @Bean method com.excilys.cdb.spring.config.SpringConfig.HikariDataSource() (ConfigurationClassBeanDefinitionReader.java:292)
[main] TRACE | org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader | Registering bean definition for @Bean method com.excilys.cdb.spring.config.DBConfig.HikariDataSource() (ConfigurationClassBeanDefinitionReader.java:292)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Overriding bean definition for bean 'HikariDataSource' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=null; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=springConfig; factoryMethodName=HikariDataSource; initMethodName=null; destroyMethodName=(inferred); defined in com.excilys.cdb.spring.config.SpringConfig] with [Root bean: class [null]; scope=; abstract=false; lazyInit=null; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=DBConfig; factoryMethodName=HikariDataSource; initMethodName=null; destroyMethodName=(inferred); defined in com.excilys.cdb.spring.config.DBConfig] (DefaultListableBeanFactory.java:1007)
[main] TRACE | org.springframework.context.annotation.ConfigurationClassEnhancer | Successfully enhanced com.excilys.cdb.spring.config.SpringConfig; enhanced class name is: com.excilys.cdb.spring.config.SpringConfig$$EnhancerBySpringCGLIB$$a127796 (ConfigurationClassEnhancer.java:111)
[main] TRACE | org.springframework.context.annotation.ConfigurationClassPostProcessor | Replacing bean definition 'springConfig' existing class 'com.excilys.cdb.spring.config.SpringConfig' with enhanced class 'com.excilys.cdb.spring.config.SpringConfig$$EnhancerBySpringCGLIB$$a127796' (ConfigurationClassPostProcessor.java:450)
[main] TRACE | org.springframework.context.annotation.ConfigurationClassEnhancer | Successfully enhanced com.excilys.cdb.spring.config.DBConfig; enhanced class name is: com.excilys.cdb.spring.config.DBConfig$$EnhancerBySpringCGLIB$$3c034947 (ConfigurationClassEnhancer.java:111)
[main] TRACE | org.springframework.context.annotation.ConfigurationClassPostProcessor | Replacing bean definition 'DBConfig' existing class 'com.excilys.cdb.spring.config.DBConfig' with enhanced class 'com.excilys.cdb.spring.config.DBConfig$$EnhancerBySpringCGLIB$$3c034947' (ConfigurationClassPostProcessor.java:450)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor' (DefaultSingletonBeanRegistry.java:225)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor' (AbstractAutowireCapableBeanFactory.java:489)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Eagerly caching bean 'org.springframework.context.event.internalEventListenerProcessor' to allow for resolving potential circular references (AbstractAutowireCapableBeanFactory.java:592)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Finished creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor' (AbstractAutowireCapableBeanFactory.java:526)
[main] DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory' (DefaultSingletonBeanRegistry.java:225)
[main] TRACE | org.springframework.beans.factory.support.DefaultListableBeanFactory | Creating instance of bean 'org.springframework.context.event.internalEventListenerFactory' (AbstractAutowireCapableBeanFactory.java:489)
